Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Little Comets,Jarrow,GB,GB-SRY,en
Little Dragon,Gothenburg,SE,SE-O,en
Little Feat,Los Angeles,US,US-CA,en
Little River Band,Melbourne,AU,AU-VIC,en
Little Walter,Marion,US,US-LA,en
Live,York,US,US-PA,en
Living Colour,New York City,US,US-NY,en
Local H,Zion,US,US-IL,en
Local Natives,Silver Lake,US,US-CA,en
Logic,Gaithersburg,US,US-MD,en
Lola Young,South London,GB,GB-LND,en
Lonesome River Band,Virginia,US,US-VA,en
Long Distance Calling,Münster,DE,DE-NW,en
Looking Glass,New Brunswick,US,US-NJ,en
Lord Huron,Los Angeles,US,US-CA,en
Loreena McKennitt,Morden,CA,CA-MB,en
Loretta Lynn,Butcher Hollow,US,US-KY,en
Los Angeles Philharmonic,Los Angeles,US,US-CA,en
Los Del Rio,Dos Hermanas,ES,ES-AN,es
Los Lobos,East Los Angeles,US,US-CA,es
Los Panchos,New York City,US,US-NY,es
Los Prisioneros,San Miguel,CL,CL-RM,es
Los Tigres del Norte,Rosa Morada,MX,MX-SIN,es
Los Tucanes De Tijuana,Tijuana,MX,MX-BCN,es
Los Ángeles Azules,Iztapalapa,MX,MX-CMX,es
Lou Bega,Munich,DE,DE-BY,en
Lou Reed,New York City,US,US-NY,en
Louis The Child,Chicago,US,US-IL,en
Louise Attaque,Paris,FR,FR-75,fr
Love,Los Angeles,US,US-CA,en
Loverboy,Calgary,CA,CA-AB,en
Low,Duluth,US,US-MN,en
Ludacris,Champaign,US,US-IL,en
Ludwig van Beethoven,Bonn,DE,DE-NW,de
Luna,New York City,US,US-NY,en
Lupe Fiasco,Chicago,US,US-IL,en
Lush,London,GB,GB-LND,en
Luz Casal,Boimorto,ES,ES-GA,es
Lykke Li,Ystad,SE,SE-M,en
Lyle Lovett,Klein,US,US-TX,en
Lynyrd Skynyrd,Jacksonville,US,US-FL,en
M.I.A.,London,GB,GB-LND,en
M83,Antibes,FR,FR-06,en
MC Hammer,Oakland,US,US-CA,en
MC Solaar,Dakar,SN,SN-DK,fr
MF Doom,London,GB,GB-LND,en
MGMT,Middletown,US,US-CT,en
MSTRKRFT,Toronto,CA,CA-ON,en
Mac DeMarco,Duncan,CA,CA-BC,en
Macklemore & Ryan Lewis,Seattle,US,US-WA,en
Mad Season,Seattle,US,US-WA,en
Madlib,Oxnard,US,US-CA,en
Madness,Camden Town,GB,GB-LND,en
Madonna,Bay City,US,US-MI,en
Madvillain,Los Angeles,US,US-CA,en
Major Lazer,Kingston,JM,JM-01,en
Maldita Vecindad,Mexico City,MX,MX-CMX,es
Maluma,Medellín,CO,CO-ANT,es
Man or Astro-Man?,Auburn,US,US-AL,en
Manfred Mann's Earth Band,London,GB,GB-LND,en
Mano Negra,Paris,FR,FR-75,fr
Maná,Guadalajara,MX,MX-JAL,es
Marcy Playground,New York City,US,US-NY,en
Margo Price,Aledo,US,US-IL,en
Marilyn Manson,Canton,US,US-OH,en
Mark Chesnutt,Beaumont,US,US-TX,en
Mark Morrison,Hanover,DE,DE-NI,en
Maroon 5,Los Angeles,US,US-CA,en
Martina McBride,Sharon,US,US-KS,en
Marty Robbins,Glendale,US,US-AZ,en
Marvin Gaye,"Washington, D.C.",US,US-DC,en
Mary Chapin Carpenter,Princeton,US,US-NJ,en
Mary J. Blige,New York City,US,US-NY,en
Massive Attack,Bristol,GB,GB-BST,en
Matchbox Twenty,Orlando,US,US-FL,en
Matisyahu,West Chester,US,US-PA,en
Matt & Kim,Brooklyn,US,US-NY,en
Max Romeo,St. D'Acre,JM,JM-08,en
Maxo Kream,Houston,US,US-TX,en
Mazzy Star,Santa Monica,US,US-CA,en
Mdou Moctar,Agadez,NE,NE-1,tmh
Meat Puppets,Phoenix,US,US-AZ,en
Mecano,Madrid,ES,ES-MD,es
Medeski Martin & Wood,New York City,US,US-NY,en
Meek Mill,Philadelphia,US,US-PA,en
Megan Thee Stallion,Houston,US,US-TX,en
Meghan Trainor,Nantucket,US,US-MA,en
Melvins,Montesano,US,US-WA,en
Men I Trust,Montreal,CA,CA-QC,en
Men Without Hats,Montreal,CA,CA-QC,en
Merle Haggard,Oildale,US,US-CA,en
Meshuggah,Umeå,SE,SE-AC,en
Metro Boomin,St. Louis,US,US-MO,en
Metronomy,Totnes,GB,GB-DEV,en
Michael Bolton,New Haven,US,US-CT,en
Michael Jackson,Gary,US,US-IN,en
Michael McDonald,St. Louis,US,US-MO,en
Michelle Shocked,Dallas,US,US-TX,en
Midnight Oil,Sydney,AU,AU-NSW,en
Miike Snow,Stockholm,SE,SE-AB,en
Mike + The Mechanics,Dover,GB,GB-KEN,en
Mike Jones,Houston,US,US-TX,en
Mild High Club,Chicago,US,US-IL,en
Milky Chance,Kassel,DE,DE-HE,en
Millencolin,Örebro,SE,SE-T,en
Ministry,Chicago,US,US-IL,en
Minor Threat,Washington, D.C.,US,US-DC,en
Misfits,Lodi,US,US-NJ,en
Moby,New York City,US,US-NY,en
Modern English,Colchester,GB,GB-ESS,en
Modest Mouse,Issaquah,US,US-WA,en
Modjo,Paris,FR,FR-75,en
Moloko,Sheffield,GB,GB-SHF,en
Montell Jordan,South Central Los Angeles,US,US-CA,en
Moodymann,Detroit,US,US-MI,en
Morphine,Cambridge,US,US-MA,en
Morris Day,Springfield,US,US-IL,en
Mos Def,Brooklyn,US,US-NY,en
Motörhead,London,GB,GB-LND,en
Mountain,Long Island,US,US-NY,en
Mr. Bungle,Eureka,US,US-CA,en
Mr. Mister,Phoenix,US,US-AZ,en
Mt. Joy,Philadelphia,US,US-PA,en
Muddy Waters,Rolling Fork,US,US-MS,en
Mudvayne,Peoria,US,US-IL,en
Mumford & Sons,London,GB,GB-LND,en
Municipal Waste,Richmond,US,US-VA,en
Musical Youth,Birmingham,GB,GB-BIR,en
Mutemath,New Orleans,US,US-LA,en
My Bloody Valentine,Dublin,IE,IE-D,en
My Chemical Romance,Newark,US,US-NJ,en
My Morning Jacket,Louisville,US,US-KY,en
Mötley Crüe,Los Angeles,US,US-CA,en
N.W.A,Compton,US,US-CA,en
NOFX,Los Angeles,US,US-CA,en
Nada Surf,New York City,US,US-NY,en
Naked Eyes,Bath,GB,GB-BAN,en
Nancy Sinatra,Jersey City,US,US-NJ,en
Napalm Death,Meriden,GB,GB-SOL,en
Nas,Brooklyn,US,US-NY,en
Nat King Cole,Montgomery,US,US-AL,en
Natalie Imbruglia,Sydney,AU,AU-NSW,en
Nathaniel Rateliff & The Night Sweats,Hermann,US,US-MO,en
Naughty By Nature,East Orange,US,US-NJ,en
Nazareth,Dunfermline,GB,GB-FIF,en
Ne-Yo,Camden,US,US-AR,en
Neil Young,Toronto,CA,CA-ON,en
Neko Case,Alexandria,US,US-VA,en
Nelly,St. Louis,US,US-MO,en
