Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Dr. John,New Orleans,US,US-LA,en
Dr. Lonnie Smith,Lackawanna,US,US-NY,en
Drake,Toronto,CA,CA-ON,en
Dredg,Los Gatos,US,US-CA,en
Drexciya,Detroit,US,US-MI,en
Drive-By Truckers,Athens,US,US-GA,en
Dropkick Murphys,Quincy,US,US-MA,en
Drowning Pool,Dallas,US,US-TX,en
Drugdealer,Los Angeles,US,US-CA,en
Dumbo Gets Mad,Reggio Emilia,IT,IT-45,en
Dumpstaphunk,New Orleans,US,US-LA,en
Dumpstar,London,GB,GB-ENG,en
Duncan Dhu,San Sebastián,ES,ES-PV,es
Duncan Sheik,Montclair,US,US-NJ,en
Dungen,Stockholm,SE,SE-AB,sv
Duran Duran,Birmingham,GB,GB-ENG,en
Durand Jones & The Indications,Bloomington,US,US-IN,en
Dusted,Toronto,CA,CA-ON,en
Dwight Yoakam,Pikeville,US,US-KY,en
Dynastie Crisis,Paris,FR,FR-IDF,fr
Déportivo,Bois-d'Arcy,FR,FR-IDF,fr
E-40,Vallejo,US,US-CA,en
ENNY,London,GB,GB-ENG,en
ETHEREA,São Paulo,BR,BR-SP,pt
Eagle-Eye Cherry,Stockholm,SE,SE-AB,en
Eagles,Los Angeles,US,US-CA,en
Eamon,Staten Island,US,US-NY,en
Earl Scruggs,Flint Hill,US,US-NC,en
Earth Opera,Boston,US,US-MA,en
"Earth, Wind & Fire",Chicago,US,US-IL,en
Eartha Kitt,North,US,US-SC,en
Easy Star All-Stars,New York City,US,US-NY,en
Eazy-E,Compton,US,US-CA,en
Echo & The Bunnymen,Liverpool,GB,GB-ENG,en
Ed Sheeran,Halifax,GB,GB-ENG,en
Eddie Money,New York City,US,US-NY,en
Eddie Rabbitt,New York City,US,US-NY,en
Eddy Grant,Plaisance,GY,GY-DE,en
Edie Brickell & New Bohemians,Dallas,US,US-TX,en
Editors,Stafford,GB,GB-ENG,en
Edward Sharpe & The Magnetic Zeros,Los Angeles,US,US-CA,en
Edwin McCain,Greenville,US,US-SC,en
Edwin Starr,Nashville,US,US-TN,en
Eek-A-Mouse,Kingston,JM,JM-01,en
Eiffel 65,Turin,IT,IT-21,en
El Alfa,Bajos de Haina,DO,DO-21,es
El Chicano,Los Angeles,US,US-CA,en
El Jefe Y Su Grupo,Monterrey,MX,MX-NLE,es
El Michels Affair,New York City,US,US-NY,en
El Super Show De Los Vaskez,Acayucan,MX,MX-VER,es
El Tri,Mexico City,MX,MX-CMX,es
Electric Light Orchestra,Birmingham,GB,GB-ENG,en
Electric Octopus,Belfast,GB,GB-NIR,en
Electric Prunes,Los Angeles,US,US-CA,en
Electric Six,Detroit,US,US-MI,en
Electric Wire Hustle,Wellington,NZ,NZ-WGN,en
Electric Wizard,Dorset,GB,GB-ENG,en
Elliott Smith,Portland,US,US-OR,en
Elton John,London,GB,GB-ENG,en
Emanuel,London,CA,CA-ON,en
Emapea,Gdańsk,PL,PL-22,en
"Emerson, Lake & Palmer",London,GB,GB-ENG,en
Emigrate,Berlin,DE,DE-BE,en
Eminem,Detroit,US,US-MI,en
Empire Of The Sun,Sydney,AU,AU-NSW,en
Enigma,Ibiza,ES,ES-IB,en
Enjambre,Fresnillo,MX,MX-ZAC,es
Ennio Morricone,Rome,IT,IT-62,it
Enya,Gweedore,IE,IE-DL,en
Erasure,London,GB,GB-ENG,en
Eric B. & Rakim,New York City,US,US-NY,en
Eric Burdon & The Animals,Newcastle,GB,GB-ENG,en
Eric Burdon & War,Long Beach,US,US-CA,en
Eric Clapton,Ripley,GB,GB-ENG,en
Errors,Glasgow,GB,GB-SCT,en
Erykah Badu,Dallas,US,US-TX,en
Esevatopatoloco,Mexico City,MX,MX-CMX,es
