Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Jeffery Lewis,New York City,US,US-NY,en
Jeffrey Osborne,Providence,US,US-RI,en
Jelly Roll,Antioch,US,US-TN,en
Jellyfish,San Francisco,US,US-CA,en
Jennifer Hudson,Chicago,US,US-IL,en
Jennifer Lopez,New York City,US,US-NY,en
Jenny Lewis,Las Vegas,US,US-NV,en
Jeremih,Chicago,US,US-IL,en
Jeremy Enigk,Seattle,US,US-WA,en
Jermaine Stewart,Columbus,US,US-OH,en
Jerry Cantrell,Tacoma,US,US-WA,en
Jerry Harrison,Milwaukee,US,US-WI,en
Jerry Jeff Walker,Oneonta,US,US-NY,en
Jerry Lee Lewis,Ferriday,US,US-LA,en
Jerry Rivera,Humacao,PR,US-PR,es
Jessie J,London,GB,GB-ENG,en
Jessie Ware,London,GB,GB-ENG,en
Jesus and Mary Chain,East Kilbride,GB,GB-SCT,en
Jet,Melbourne,AU,AU-VIC,en
Jethro Tull,Blackpool,GB,GB-ENG,en
Jewel,Payson,US,US-UT,en
Jill Scott,Philadelphia,US,US-PA,en
Jim Capaldi,Evesham,GB,GB-ENG,en
Jim Croce,Philadelphia,US,US-PA,en
Jim Hendrix,Seattle,US,US-WA,en
Jim James,Louisville,US,US-KY,en
Jim Morrison,Melbourne,US,US-FL,en
Jimi Hendrix,Seattle,US,US-WA,en
Jimi Tenor,Lahti,FI,FI-07,en
Jimmy Buffett,Pascagoula,US,US-MS,en
Jimmy Cliff,Saint James,JM,JM-07,en
Jimmy Eat World,Mesa,US,US-AZ,en
Jimmy Page,London,GB,GB-ENG,en
Jimmy Reed,Dunleith,US,US-MS,en
Jimmy Somerville,Glasgow,GB,GB-SCT,en
Jimmy Soul,Weldon,US,US-NC,en
Jo Boxers,London,GB,GB-ENG,en
Joan Armatrading,Basseterre,KN,KN-01,en
Joan Baez,Staten Island,US,US-NY,en
Joan Jett,Wynnewood,US,US-PA,en
Joan Osborne,Anchorage,US,US-KY,en
Joanna Newsom,Nevada City,US,US-CA,en
Jocelyn Brown,Kinston,US,US-NC,en
Joe Cocker,Sheffield,GB,GB-ENG,en
Joe Jackson,Burton upon Trent,GB,GB-ENG,en
Joe Sample,Houston,US,US-TX,en
Joe Satriani,Westbury,US,US-NY,en
Joe Simon,Simmesport,US,US-LA,en
Joe Tex,Rogers,US,US-TX,en
Joe Walsh,Wichita,US,US-KS,en
Joey Bada$$,New York City,US,US-NY,en
Joey Beltram,New York City,US,US-NY,en
Joey Ramone,New York City,US,US-NY,en
John Anderson,Apopka,US,US-FL,en
John Barry,York,GB,GB-ENG,en
John Cale,Garnant,GB,GB-WLS,en
John Carpenter,Carthage,US,US-NY,en
John Coltrane,Hamlet,US,US-NC,en
John Cougar Mellencamp,Seymour,US,US-IN,en
John Denver,Roswell,US,US-NM,en
John Fogerty,Berkeley,US,US-CA,en
John Frusciante,New York City,US,US-NY,en
John Hiatt,Indianapolis,US,US-IN,en
John Lee Hooker,Coahoma County,US,US-MS,en
John Legend,Springfield,US,US-OH,en
John Lennon,Liverpool,GB,GB-ENG,en
John Martin,Stockholm,SE,SE-AB,en
John Mayer,Bridgeport,US,US-CT,en
John Mellencamp,Seymour,US,US-IN,en
John Parr,Worksop,GB,GB-ENG,en
John Prine,Maywood,US,US-IL,en
John Sebastian,New York City,US,US-NY,en
John Talabot,Barcelona,ES,ES-CT,en
John Waite,Lancaster,GB,GB-ENG,en
John Williams,New York City,US,US-NY,en
Johnny Burnette,Memphis,US,US-TN,en
Johnny Cash,Kingsland,US,US-AR,en
