Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
4AD,London,GB,GB-LND,en
8Ball/MJG/Three 6 Mafia/Young Buck,Memphis,US,US-TN,en
? and the Mysterians,Bay City,US,US-MI,en
Afida Turner,Auchel,FR,FR-HDF,fr
Alka Yagnik,Kolkata,IN,IN-WB,hi
Ambrosia Parsley,Reseda,US,US-CA,en
Apes Of The State,Lancaster,US,US-PA,en
Audio Isolation,London,GB,GB-LND,en
A‐Trak,Montreal,CA,CA-QC,en
BLESSD y Ovy On The Drums,Medellín,CO,CO-ANT,es
Billy Allen + The Pollies,Florence,US,US-AL,en
Bobby Vinton,Canonsburg,US,US-PA,en
Boffalongo,New York City,US,US-NY,en
Bon Jovi,Sayreville,US,US-NJ,en
Bon y los enemigos del silencio,Mexico City,MX,MX-CMX,es
Bone Thugs-N-Harmony,Cleveland,US,US-OH,en
Booker T. & The M.G.s,Memphis,US,US-TN,en
Bowling for soup,Wichita Falls,US,US-TX,en
Boy Hits Car,Santa Cruz,US,US-CA,en
Brad Mehldau Trio,New York City,US,US-NY,en
Bran Van 3000,Montreal,CA,CA-QC,en
Brass Construction,Brooklyn,US,US-NY,en
Breakwater,Philadelphia,US,US-PA,en
Brewer & Shipley,Los Angeles,US,US-CA,en
Brigitte Bardot and Serge Gainsbourg,Paris,FR,FR-75,fr
Broken English,London,GB,GB-LND,en
Brother Marshall & The Choir of Fire,Huntington,US,US-WV,en
Brothertiger,Brooklyn,US,US-NY,en
Brown Eyed Girls,Seoul,KR,KR-11,ko
Bruce Hornsby and The Range,Williamsburg,US,US-VA,en
Buddy Holly & The Crickets,Lubbock,US,US-TX,en
Béla Fleck & Toumani Diabaté,Bamako,ML,ML-BKO,en
CRYPTIC,New York City,US,US-NY,en
Cansei de Ser Sexy,São Paulo,BR,BR-SP,en
Carl Douglas,Kingston,JM,JM-01,en
Carín León,Hermosillo,MX,MX-SON,es
Cassettes Won't Listen,Brooklyn,US,US-NY,en
Charlie Clouser,Hanover,US,US-NH,en
Chemise,New York City,US,US-NY,en
Chris Thomas King,Baton Rouge,US,US-LA,en
Christopher Cross,San Antonio,US,US-TX,en
Cigar,Eugene,US,US-OR,en
Circles Around The Sun,Los Angeles,US,US-CA,en
Circlesquare,Vancouver,CA,CA-BC,en
Circus Of Power,New York City,US,US-NY,en
Citizen King,Milwaukee,US,US-WI,en
City High,Burlington,US,US-NJ,en
City Sleeps,Jacksonville,US,US-FL,en
Clinic,Liverpool,GB,GB-LIV,en
Close Counters,Melbourne,AU,AU-VIC,en
Closure,New York City,US,US-NY,en
Cold Blood,San Francisco,US,US-CA,en
Cold Blue,New York City,US,US-NY,en
Colour Haze,Munich,DE,DE-BY,en
Compay Segundo,Siboney,CU,CU-13,es
Connie Conway,Phoenix,US,US-AZ,en
Conor Albert,London,GB,GB-LND,en
Cookiee Kawaii,Irvington,US,US-NJ,en
Corey Smith,Jefferson,US,US-GA,en
Corona,Salerno,IT,IT-65,en
Corridor,Montreal,CA,CA-QC,fr
Cotton Jones,Cumberland,US,US-MD,en
Country Joe and the Fish,Berkeley,US,US-CA,en
Courtney Love,San Francisco,US,US-CA,en
Coyote J. Calhoun,New Orleans,US,US-LA,en
Crackazat,Bristol,GB,GB-BST,en
Craft Spells,Stockton,US,US-CA,en
Cubic Zirconia,Brooklyn,US,US-NY,en
DJ Maikel Music,Madrid,ES,ES-MD,es
DJ Snake,Paris,FR,FR-75,en
Damian Marley,Kingston,JM,JM-01,en
DatA,Paris,FR,FR-75,en
Datarock,Bergen,NO,NO-46,en
David Bowie,London,GB,GB-LND,en
Deastro,Detroit,US,US-MI,en
Digable Planets,Brooklyn,US,US-NY,en
Dink Roberts,Haw River,US,US-NC,en
Dirty Projectors,Brooklyn,US,US-NY,en
Discovery,New York City,US,US-NY,en
"Does It Offend You, Yeah?",Reading,GB,GB-RDG,en
"Dr. Buzzard's Original Savannah Band",New York City,US,US-NY,en
Dr. Dog,Philadelphia,US,US-PA,en
Dr. John,New Orleans,US,US-LA,en
Dr. Lonnie Smith,Buffalo,US,US-NY,en
Edie Brickell & New Bohemians,Dallas,US,US-TX,en
Emanuel,Toronto,CA,CA-ON,en
Emigrate,Berlin,DE,DE-BE,en
Eric B. & Rakim,Long Island,US,US-NY,en
Fairfield Four,Nashville,US,US-TN,en
Fightstar,London,GB,GB-LND,en
Five Man Electrical Band,Ottawa,CA,CA-ON,en
Flight Of The Conchords,Wellington,NZ,NZ-WGN,en
Florence + The Machine,London,GB,GB-LND,en
Flyleaf,Belton,US,US-TX,en
Free Blood,New York City,US,US-NY,en
Friendly Fires,St Albans,GB,GB-HRT,en
Frog Eyes,Victoria,CA,CA-BC,en
Fun.,New York City,US,US-
