Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"? and the Mysterians",Bay City,US,US-MI,en
"4AD",London,GB,GB-LND,en
"Adam Dornblum, Bill Frisell, Mocean Worker",New York City,US,US-NY,en
"Adam Dornblum, David Fathead Newman, Mocean Worker",New York City,US,US-NY,en
"Adam Dornblum, Jane Monheit, Mocean Worker",New York City,US,US-NY,en
"Adam Dornblum, Les McCann, Mocean Worker",New York City,US,US-NY,en
"Adam Dornblum, Mocean Worker",New York City,US,US-NY,en
"Adam Dornblum, Rahsaan Roland Kirk, Mocean Worker",New York City,US,US-NY,en
"Ambrosia Parsley, Adam Dornblum, Mocean Worker",Reseda,US,US-CA,en
"Anoraak",Nantes,FR,FR-44,en
"Apes Of The State",Lancaster,US,US-PA,en
"A‐Trak",Montreal,CA,CA-QC,en
"B.o.B",Decatur,US,US-GA,en
"Bat for Lashes",London,GB,GB-LND,en
"Billy Allen + The Pollies",Muscle Shoals,US,US-AL,en
"Black Kids",Jacksonville,US,US-FL,en
"Bob Marley & The Wailers, LVNDSCAPE, Bolier",Nine Mile,JM,JM-06,en
"Booker T. & The M.G.s",Memphis,US,US-TN,en
"Bran Van 3000",Montreal,CA,CA-QC,en
"Britney Spears",McComb,US,US-MS,en
"C.W. McCall",Audubon,US,US-IA,en
"CCTV (Chucklehead Chimps Tree Vandalism)",St. Louis,US,US-MO,en
"CRYPTIC",London,GB,GB-LND,en
"CSS",São Paulo,BR,BR-SP,en
"Calvin Harris",Dumfries,GB,GB-DGY,en
"Cansei de Ser Sexy",São Paulo,BR,BR-SP,en
"Cansei de Ser Sexy, Calvin Harris",São Paulo,BR,BR-SP,en
"Cassettes Won't Listen",Brooklyn,US,US-NY,en
"Chad hates George.",Dallas,US,US-TX,en
"Charlie Clouser",Hanover,US,US-NH,en
"Charlie Daniels",Wilmington,US,US-NC,en
"Cherry Glazerr",Los Angeles,US,US-CA,en
"Chris Thomas King",Baton Rouge,US,US-LA,en
"Chromeo",Montreal,CA,CA-QC,en
"City Sleeps",Union Springs,US,US-AL,en
"Cobra Starship",New York City,US,US-NY,en
"Coconut Records",Los Angeles,US,US-CA,en
"Cold Cave",Philadelphia,US,US-PA,en
"Colonel Loud ft. T.I., Young Dolph, Ricco Barrino",Atlanta,US,US-GA,en
"Corey Taylor",Des Moines,US,US-IA,en
"Cosculluela ft. Nicky Jam",Humacao,PR,PR,es
"Coyote J. Calhoun",Nashville,US,US-TN,en
"Crag Legs & Not Half Bad",Fort Worth,US,US-TX,en
"Cubic Zirconia",New York City,US,US-NY,en
"DJ Maikel Music",Amsterdam,NL,NL-NH,en
"Daddy Yankee feat. Anuel AA",San Juan,PR,PR,es
"Damian \"Jr. Gong\" Marley Ft. Bobby Brown",Kingston,JM,JM-01,en
"Damian Marley",Kingston,JM,JM-01,en
"Dan Black",Reading,GB,GB-RDG,en
"Danger",Lyon,FR,FR-69,en
"DatA",Paris,FR,FR-75,en
"Datarock",Bergen,NO,NO-46,en
"David Bowie, Queen",London,GB,GB-LND,en
"Dead End America, Steve Hanford, Tony Avila",Portland,US,US-OR,en
"Dead End America, Steve Hanford, Tony Avila, Mike IX Williams",Portland,US,US-OR,en
"Deastro",Detroit,US,US-MI,en
"Digable Planets",Brooklyn,US,US-NY,en
"Dink Roberts",Haw River,US,US-NC,en
"Dinosaur Jr.",Amherst,US,US-MA,en
"Dirty Projectors",Brooklyn,US,US-NY,en
"Discovery",New York City,US,US-NY,en
"Does It Offend You, Yeah?",Reading,GB,GB-RDG,en
"Dr. Buzzard's Original Savannah Band",New York City,US,US-NY,en
"Dr. Dog",Philadelphia,US,US-PA,en
"Dr. Dre",Compton,US,US-CA,en
"Dr. Dre & Snoop Dogg",Compton,US,US-CA,en
"Dr. Dre feat. Devin the Dude & Snoop Dogg",Compton,US,US-CA,en
"Dr. Dre feat. Eddie Griffin",Compton,US,US-CA,en
"Dr. Dre feat. Eminem",Compton,US,US-CA,en
"Dr. Dre feat. Hittman",Compton,US,US-CA,en
"Dr. Dre feat. Hittman & Ms. Roq",Compton,US,US-CA,en
"Dr. Dre feat. Hittman, Kurupt, Nate Dogg & Six-Two",Compton,US,US-CA,en
"Dr. Dre feat. Jake Steed",Compton,US,US-CA,en
"Dr. Dre feat. Kurupt & Hittman",Compton,US,US-CA,en
"Dr. Dre feat. Mary J. Blige & Rell",Compton,US,US-CA,en
"Dr. Dre feat. Mel-Man & Charis Henry",Compton,US,US-CA,en
"Dr. Dre feat. Snoop Dogg",Compton,US,US-CA,en
"Dr. Dre feat. Snoop Dogg, Hittman & Six-Two",Compton,US,US-CA,en
"Dr. Dre feat. Traci Nelson, Ms. Roq & Eddie Griffin",Compton,US,US-CA,en
