Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"The Mission",Leeds,GB,GB-LDS,en
"The Monkees",Los Angeles,US,US-CA,en
"The Pains of Being Pure at Heart",New York City,US,US-NY,en
"The Presets",Sydney,AU,AU-NSW,en
"The Soggy Bottom Boys",Nashville,US,US-TN,en
"The Stanley Brothers",McClure,US,US-VA,en
"The Whites",Wichita Falls,US,US-TX,en
"The Wombats",Liverpool,GB,GB-LIV,en
"Timmy Trumpet, Will Sparks, Code Black, Toneshifterz",Sydney,AU,AU-NSW,en
"Tony Bennett",New York City,US,US-NY,en
"Toy Tonics",Munich,DE,DE-BY,en
"Uffie",Miami,US,US-FL,en
"Usher, MSTRKRFT",Atlanta,US,US-GA,en
"VILLAINS",New York City,US,US-NY,en
"Vanzetti & Sacco, Void Vision",Philadelphia,US,US-PA,en
"Walter Egan, Stevie Nicks",New York City,US,US-NY,en
"Wham!",Bushey,GB,GB-HRT,en
"Wiley",London,GB,GB-LND,en
"William S. Burroughs",St. Louis,US,US-MO,en
"Woolfy",Ojai,US,US-CA,en
"X.Y. Spaces",Sydney,AU,AU-NSW,en
"Yacht",Portland,US,US-OR,en
"Yelle",Saint-Brieuc,FR,FR-22,fr
"Yo-Yo Ma & Bobby McFerrin",Paris,FR,FR-75,en
"Youssoupha, William MUNDAYA NA MPUTU, Youssoupha MABIKI",Kinshasa,CD,CD-KN,fr
"deadmau5",Niagara Falls,CA,CA-ON,en
"jazzandmilk",Munich,DE,DE-BY,en
"jclutch",London,GB,GB-LND,en
"t.A.T.u.",Moscow,RU,RU-MOW,ru
"산울림 (Sanulrim)",Seoul,KR,KR-11,ko
"8Uno ft. Airam Páez",Las Palmas,ES,ES-CN,es
"? and the Mysterians",Bay City,US,US-MI,en
"Arvo Pärt",Paide,EE,EE-37,et
"A‐Trak",Montreal,CA,CA-QC,en
"B.o.B",Atlanta,US,US-GA,en
"Bob Marley & The Wailers, LVNDSCAPE, Bolier",Kingston,JM,JM-01,en
"CRYPTIC",Los Angeles,US,US-CA,en
"Cansei de Ser Sexy, Calvin Harris",São Paulo,BR,BR-SP,en
"Chad hates George.",Houston,US,US-TX,en
"Charlie Daniels",Wilmington,US,US-NC,en
"Coyote J. Calhoun",Nashville,US,US-TN,en
"Crag Legs & Not Half Bad",Fort Worth,US,US-TX,en
"DJ Maikel Music",Rotterdam,NL,NL-ZH,nl
"Dink Roberts",Haw River,US,US-NC,en
"ID",London,GB,GB-LND,en
"Iggy and the Stooges",Ann Arbor,US,US-MI,en
"John Harrison with the Wichita State University Chamber Players",Wichita,US,US-KS,en
"John R. Butler",Baton Rouge,US,US-LA,en
"John Snipes",Hillsborough,US,US-NC,en
"Julian Plenti",New York City,US,US-NY,en
"La Banda X, Dj Duran, Richard Herrera",Bogotá,CO,CO-DC,es
"La Vida es Una Lenteja",Miami,US,US-FL,es
"Lautaro Scavuzzo, AWSI",Buenos Aires,AR,AR-B,es
"Lil Jon & The East Side Boys",Atlanta,US,US-GA,en
"Lil Jon feat. Pastor Troy",Atlanta,US,US-GA,en
"Line",Copenhagen,DK,DK-84,da
"Los Estrambóticos",Mexico City,MX,MX-CMX,es
"Los Incateños, Dominio Publico",Cuzco,PE,PE-CUS,es
"LosDosCarnales y LosRielerosDelNorte",San Pedro,MX,MX-COA,es
"Ludwig van Beethoven",Bonn,DE,DE-NW,de
"Lykke Li",Ystad,SE,SE-M,en
"MIA feat. Timbaland",London,GB,GB-LND,en
"Maximianno Cobra - Europa Philharmonia Choir & Orchestra",Rio de Janeiro,BR,BR-RJ,en
"Mercedes feat. Mac & Jahbo",New Orleans,US,US-LA,en
"Mike Bloomfield, Al Kooper and Steve Stills",Chicago,US,US-IL,en
"Mitch with Uffie & Feadz",Paris,FR,FR-75,en
"Mr. Scruff",Stockport,GB,GB-SKP,en
"Muscles",Melbourne,AU,AU-VIC,en
"O Brother, Where Art Thou",Nashville,US,US-TN,en
"Olivia Newton John",Cambridge,GB,GB-CAM,en
