Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
$ilkMoney,Richmond,US,US-VA,en
10 Years,Knoxville,US,US-TN,en
"10,000 Maniacs",Jamestown,US,US-NY,en
30 Seconds to Mars,Los Angeles,US,US-CA,en
36 Crazyfists,Anchorage,US,US-AK,en
38 Special,Jacksonville,US,US-FL,en
3OH!3,Boulder,US,US-CO,en
808 State,Manchester,GB,GB-ENG,en
A Perfect Circle,Los Angeles,US,US-CA,en
A Tribe Called Quest,New York City,US,US-NY,en
AFI,Ukiah,US,US-CA,en
AJJ,Phoenix,US,US-AZ,en
ATB,Freiberg,DE,DE-SN,en
ATC,Rendsburg,DE,DE-SH,en
AWOLNATION,Los Angeles,US,US-CA,en
Aaron Tippin,Pensacola,US,US-FL,en
Acid Arab,Paris,FR,FR-IDF,fr
Adina Howard,Grand Rapids,US,US-MI,en
Aerosmith,Boston,US,US-MA,en
Aesop Rock,New York City,US,US-NY,en
Against Me!,Gainesville,US,US-FL,en
Agent Orange,Fullerton,US,US-CA,en
Air,Versailles,FR,FR-IDF,fr
Akon,St. Louis,US,US-MO,en
Al Green,Forrest City,US,US-AR,en
Al Jarreau,Milwaukee,US,US-WI,en
Al Stewart,Glasgow,GB,GB-SCT,en
Alabama,Fort Payne,US,US-AL,en
Alabama Shakes,Athens,US,US-AL,en
Alan Jackson,Newnan,US,US-GA,en
Alanis Morissette,Ottawa,CA,CA-ON,en
Alannah Myles,Toronto,CA,CA-ON,en
Albert Hammond,London,GB,GB-ENG,en
Alcatrazz,Los Angeles,US,US-CA,en
Alice Cooper,Detroit,US,US-MI,en
Alice DJ,Amsterdam,NL,NL-NH,en
Alice in Chains,Seattle,US,US-WA,en
Alicia Keys,New York City,US,US-NY,en
Alien Ant Farm,Riverside,US,US-CA,en
Alien Weaponry,Waipu,NZ,NZ-NTL,mi
Allah-Las,Los Angeles,US,US-CA,en
Allan Sherman,Chicago,US,US-IL,en
Allman Brothers Band,Jacksonville,US,US-FL,en
Alphaville,Münster,DE,DE-NW,en
Alvvays,Charlottetown,CA,CA-PE,en
Amanaz,Kitwe,ZM,ZM-02,en
Amen Dunes,New York City,US,US-NY,en
America,London,GB,GB-ENG,en
Amy Winehouse,London,GB,GB-ENG,en
Anberlin,Winter Haven,US,US-FL,en
André 3000,Atlanta,US,US-GA,en
Andy Gibb,Manchester,GB,GB-ENG,en
Aneka,Edinburgh,GB,GB-SCT,en
Angel Olsen,St. Louis,US,US-MO,en
Aniceto Molina,El Campano,CO,CO-COR,es
Animal Collective,Baltimore,US,US-MD,en
Animotion,Los Angeles,US,US-CA,en
Anita Baker,Toledo,US,US-OH,en
Anna Nalick,Temple City,US,US-CA,en
Anthrax,New York City,US,US-NY,en
Anti-Flag,Pittsburgh,US,US-PA,en
Antony Santos,Las Matas de Santa Cruz,DO,DO-15,es
Aphex Twin,Limerick,IE,IE-L,en
Apocalyptica,Helsinki,FI,FI-18,en
Aqua,Copenhagen,DK,DK-84,en
Arcade Fire,Montreal,CA,CA-QC,en
Architecture in Helsinki,Melbourne,AU,AU-VIC,en
Arcángel,New York City,US,US-NY,es
Aretha Franklin,Memphis,US,US-TN,en
Ariel Pink,Los Angeles,US,US-CA,en
Arrested Development,Atlanta,US,US-GA,en
Art Of Noise,London,GB,GB-ENG,en
Arthur Russell,Oskaloosa,US,US-IA,en
Arvo Pärt,Paide,EE,EE-51,et
Asia,London,GB,GB-ENG,en
Asleep at the Wheel,Paw Paw,US,US-WV,en
Aterciopelados,Bogotá,CO,CO-DC,es
