Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Phoenix ,Versailles,FR,FR-IDF,en
DJ Snake ,Paris,FR,FR-IDF,en
Lil Jon ,Atlanta,US,US-GA,en
New Radicals ,Los Angeles,US,US-CA,en
Parcels ,Byron Bay,AU,AU-NSW,en
The Church ,Sydney,AU,AU-NSW,en
The Lemonheads ,Boston,US,US-MA,en
Afrika Bambaataa ,New York City,US,US-NY,en
Bob Dylan ,Duluth,US,US-MN,en
Cameo ,New York City,US,US-NY,en
Raúl Porchetto ,Buenos Aires,AR,AR-C,es
Los Del Río ,Dos Hermanas,ES,ES-AN,es
GoGo Penguin ,Manchester,GB,GB-ENG,en
Rema ,Benin City,NG,NG-ED,en
JPEGMafia ,Baltimore,US,US-MD,en
Michelle Branch ,Sedona,US,US-AZ,en
Roxy Music ,London,GB,GB-ENG,en
Un Pingüino en mi Ascensor ,Madrid,ES,ES-MD,es
Juan Gabriel ,Ciudad Juárez,MX,MX-CHH,es
John Cougar Mellencamp ,Seymour,US,US-IN,en
girl in red ,Horten,NO,NO-38,en
Johnny Cash ,Kingsland,US,US-AR,en
Siouxsie And The Banshees ,London,GB,GB-ENG,en
A-ha ,Oslo,NO,NO-03,en
Coheed And Cambria ,Nyack,US,US-NY,en
Bad Bunny ,Vega Baja,PR,US-PR,es
Control Machete ,Monterrey,MX,MX-NLE,es
The Sugarhill Gang ,Englewood,US,US-NJ,en
John Lee Hooker ,Clarksdale,US,US-MS,en
Metallica ,San Francisco,US,US-CA,en
Zero 7 ,London,GB,GB-ENG,en
Bright Eyes ,Omaha,US,US-NE,en
Finger Eleven ,Burlington,CA,CA-ON,en
The Sugarcubes ,Reykjavík,IS,IS-1,en
Bee Gees ,Manchester,GB,GB-ENG,en
Sum 41 ,Ajax,CA,CA-ON,en
Iron Maiden ,London,GB,GB-ENG,en
Wilco ,Chicago,US,US-IL,en
Creedence Clearwater Revival ,El Cerrito,US,US-CA,en
Stromae ,Brussels,BE,BE-BRU,fr
The Cranberries ,Limerick,IE,IE-LM,en
Lady Gaga ,New York City,US,US-NY,en
Daft Punk ,Paris,FR,FR-IDF,en
Oasis ,Manchester,GB,GB-ENG,en
Arctic Monkeys ,Sheffield,GB,GB-ENG,en
The White Stripes ,Detroit,US,US-MI,en
Nirvana ,Aberdeen,US,US-WA,en
OutKast ,Atlanta,US,US-GA,en
Radiohead ,Abingdon,GB,GB-ENG,en
Wu-Tang Clan ,Staten Island,US,US-NY,en
2Pac ,Oakland,US,US-CA,en
Glass Animals ,Oxford,GB,GB-ENG,en
The Smiths ,Manchester,GB,GB-ENG,en
The Offspring ,Garden Grove,US,US-CA,en
Cypress Hill ,South Gate,US,US-CA,en
Depeche Mode ,Basildon,GB,GB-ENG,en
N.W.A ,Compton,US,US-CA,en
R.E.M. ,Athens,US,US-GA,en
The Tragically Hip ,Kingston,CA,CA-ON,en
Black Eyed Peas ,Los Angeles,US,US-CA,en
Prince ,Minneapolis,US,US-MN,en
Héroes del Silencio ,Zaragoza,ES,ES-AR,es
Soda Stereo ,Buenos Aires,AR,AR-C,es
Caifanes ,Mexico City,MX,MX-CMX,es
Scorpions ,Hanover,DE,DE-NI,en
Molchat Doma ,Minsk,BY,BY-HM,ru
Tame Impala ,Perth,AU,AU-WA,en
Björk ,Reykjavík,IS,IS-1,en
Teriyaki Boyz ,Yokohama,JP,JP-14,ja
Kraftwerk ,Düsseldorf,DE,DE-NW,de
AC/DC ,Sydney,AU,AU-NSW,en
ABBA ,Stockholm,SE,SE-AB,en
Bob Marley ,Kingston,JM,JM-01,en
U2 ,Dublin,IE,IE-D,en
Sepultura ,Belo Horizonte,BR,BR-MG,en
Manu Chao ,Paris,FR,FR-IDF,es
