Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Faith No More,San Francisco,US,US-CA,en
Jamiroquai,London,GB,GB-ENG,en
No Doubt,Anaheim,US,US-CA,en
Natalia Lafourcade,Mexico City,MX,MX-CMX,es
Megadeth,Los Angeles,US,US-CA,en
Sting,Newcastle,GB,GB-ENG,en
Snoop Dogg,Long Beach,US,US-CA,en
Thievery Corporation,"Washington, D.C.",US,US-DC,en
Air Supply,Melbourne,AU,AU-VIC,en
The Flaming Lips,Oklahoma City,US,US-OK,en
Jewel,Homer,US,US-AK,en
Public Enemy,Long Island,US,US-NY,en
KMFDM,Hamburg,DE,DE-HH,en
Eddie Santiago,Toa Alta,PR,US-PR,es
The Dead Weather,Nashville,US,US-TN,en
Whitesnake,London,GB,GB-ENG,en
José José,Mexico City,MX,MX-CMX,es
Dead Kennedys,San Francisco,US,US-CA,en
Solange,Houston,US,US-TX,en
James Blake,London,GB,GB-ENG,en
10cc,Stockport,GB,GB-ENG,en
Incubus,Calabasas,US,US-CA,en
50 Cent,New York City,US,US-NY,en
King Gizzard & The Lizard Wizard,Melbourne,AU,AU-VIC,en
Jefferson Airplane,San Francisco,US,US-CA,en
t.A.T.u.,Moscow,RU,RU-MOW,ru
Styx,Chicago,US,US-IL,en
Chumbawamba,Burnley,GB,GB-ENG,en
Keb' Mo',Compton,US,US-CA,en
Vicente Fernández,Guadalajara,MX,MX-JAL,es
Rockwell,Detroit,US,US-MI,en
Graham Central Station,San Francisco,US,US-CA,en
Noiseshaper,Vienna,AT,AT-9,en
'Til Tuesday,Boston,US,US-MA,en
Nine Black Alps,Manchester,GB,GB-ENG,en
Dub Pistols,London,GB,GB-ENG,en
Starbuck,Atlanta,US,US-GA,en
Nicola Conte,Bari,IT,IT-75,en
Klaus Waldeck,Vienna,AT,AT-9,en
Cold Cave,Philadelphia,US,US-PA,en
Sleep,San Jose,US,US-CA,en
The Cox Family,Cotton Valley,US,US-LA,en
The Casualties,New York City,US,US-NY,en
K Motionz,Birmingham,GB,GB-ENG,en
Player One,Sydney,AU,AU-NSW,en
IDK,London,GB,GB-ENG,en
Pete Seeger,New York City,US,US-NY,en
Bazzi,Canton,US,US-MI,en
Fouk,Den Bosch,NL,NL-NB,en
King George,Hopkins,US,US-SC,en
T-Bone Walker,Linden,US,US-TX,en
Gary Glitter,Banbury,GB,GB-ENG,en
The Soul Searchers,"Washington, D.C.",US,US-DC,en
Elektrokohle,Berlin,DE,DE-BE,de
Carolyn Dawn Johnson,Grande Prairie,CA,CA-AB,en
Missing Persons,Los Angeles,US,US-CA,en
Reba McEntire,McAlester,US,US-OK,en
Wang Chung,London,GB,GB-ENG,en
Still Flyin',San Francisco,US,US-CA,en
Caravan,Canterbury,GB,GB-ENG,en
Slandr,Los Angeles,US,US-CA,en
The Record Company,Los Angeles,US,US-CA,en
Rob Thomas,Landstuhl,DE,DE-RP,en
David Banner,Jackson,US,US-MS,en
UK Subs,London,GB,GB-ENG,en
Patty Loveless,Pikeville,US,US-KY,en
Perez Prado,Matanzas,CU,CU-04,es
The Knack,Los Angeles,US,US-CA,en
Iglu & Hartly,Los Angeles,US,US-CA,en
The Pipettes,Brighton,GB,GB-ENG,en
Sérgio Mendes,Niterói,BR,BR-RJ,pt
The Alan Parsons Project,London,GB,GB-ENG,en
KRS-One,New York City,US,US-NY,en
Taco,Jakarta,ID,ID-JK,en
Daryl Hall & John Oates,Philadelphia,US,US-PA,en
Panteón Rococó,Mexico City,MX,MX-CMX,es
Limiñanas,Perpignan,FR,FR-OCC,fr
