Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
From First To Last,Los Angeles,US,US-CA,en
From Zero,Chicago,US,US-IL,en
Froth,Los Angeles,US,US-CA,en
Fudge Tunnel,Nottingham,GB,GB-ENG,en
Fuel,Harrisburg,US,US-PA,en
Fugazi,"Washington, D.C.",US,US-DC,en
Fugees,South Orange,US,US-NJ,en
Fun.,New York City,US,US-NY,en
Funeral Chic,Charlotte,US,US-NC,en
Funkadelic,Plainfield,US,US-NJ,en
Funky Destination,Varaždin,HR,HR-05,en
Future Islands,Baltimore,US,US-MD,en
Future Leaders of the World,Buffalo,US,US-NY,en
Futurebirds,Athens,US,US-GA,en
G Tom Mac,Birmingham,GB,GB-ENG,en
G-Eazy,Oakland,US,US-CA,en
GIMS,Kinshasa,CD,CD-KN,fr
Galaxie 500,Cambridge,US,US-MA,en
Game,Compton,US,US-CA,en
Gang Of Four,Leeds,GB,GB-ENG,en
Gangsta Boo,Memphis,US,US-TN,en
Garbage,Madison,US,US-WI,en
Garth Brooks,Tulsa,US,US-OK,en
Gary Allan,La Mirada,US,US-CA,en
Gary Numan,London,GB,GB-ENG,en
Gary Wright,Cresskill,US,US-NJ,en
Gavin DeGraw,South Fallsburg,US,US-NY,en
Gavin Turek,Los Angeles,US,US-CA,en
Generationals,New Orleans,US,US-LA,en
Genesis,Godalming,GB,GB-ENG,en
George Benson,Pittsburgh,US,US-PA,en
George Duke,San Rafael,US,US-CA,en
George Howard,Philadelphia,US,US-PA,en
George Jones,Saratoga,US,US-TX,en
George Lam (林子祥),Hong Kong,HK,HK-HK,zh
George Michael,London,GB,GB-ENG,en
George Strait,Poteet,US,US-TX,en
Geowolf,Sunshine Coast,AU,AU-QLD,en
Geraldo Vandré,João Pessoa,BR,BR-PB,pt
Gerry Rafferty,Paisley,GB,GB-SCT,en
Geto Boys,Houston,US,US-TX,en
Ghost In The Machine,London,GB,GB-ENG,en
Ghostland Observatory,Austin,US,US-TX,en
Gil Scott-Heron,Chicago,US,US-IL,en
Gilla Band,Dublin,IE,IE-D,en
Gin Blossoms,Tempe,US,US-AZ,en
Gino Vannelli,Montreal,CA,CA-QC,en
Gladys Knight & The Pips,Atlanta,US,US-GA,en
Glass Beams,Melbourne,AU,AU-VIC,en
Glassjaw,Hempstead,US,US-NY,en
Glen Campbell,Billstown,US,US-AR,en
Glenn Gould,Toronto,CA,CA-ON,en
Glenn Miller,Clarinda,US,US-IA,en
Gloria Gaynor,Newark,US,US-NJ,en
Gnarls Barkley,Atlanta,US,US-GA,en
Go West,London,GB,GB-ENG,en
Godflesh,Birmingham,GB,GB-ENG,en
Godsmack,Lawrence,US,US-MA,en
Godspeed You! Black Emperor,Montreal,CA,CA-QC,en
Godtet,Sydney,AU,AU-NSW,en
Gojira,Ondres,FR,FR-NAQ,en
Golden Earring,The Hague,NL,NL-ZH,en
Goldfinger,Los Angeles,US,US-CA,en
Gondwana,La Pincoya,CL,CL-RM,es
Goo Goo Dolls,Buffalo,US,US-NY,en
Good Clean Fun,"Washington, D.C.",US,US-DC,en
Goose,Norwalk,US,US-CT,en
Gordon Lightfoot,Orillia,CA,CA-ON,en
Gorillaz,London,GB,GB-ENG,en
Gotts Street Park,Leeds,GB,GB-ENG,en
Gotye,Bruges,BE,BE-VLG,en
Graham Nash,Blackpool,GB,GB-ENG,en
Gran Ronde,Portland,US,US-OR,en
Grand Funk Railroad,Flint,US,US-MI,en
Grand Theft Auto,New York City,US,US-NY,en
Grandmaster Flash & The Furious Five,New York City,US,US-NY,en
Grateful Dead,Palo Alto,US,US-CA,en
