Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"Spacehog",Leeds,GB,GB-LDS,en
"Sparklehorse",Richmond,US,US-VA,en
"Sparks",Los Angeles,US,US-CA,en
"Spirit",Los Angeles,US,US-CA,en
"Sponge",Detroit,US,US-MI,en
"Spoon",Austin,US,US-TX,en
"Squarepusher",Chelmsford,GB,GB-ESS,en
"Squid Game",Seoul,KR,KR-11,ko
"St Germain",Saint-Germain-en-Laye,FR,FR-78,fr
"St Vincent",Dallas,US,US-TX,en
"Starship",San Francisco,US,US-CA,en
"Static-X",Los Angeles,US,US-CA,en
"Stephen Stills",Dallas,US,US-TX,en
"Stereolab",London,GB,GB-LND,en
"Steve Lacy",Compton,US,US-CA,en
"Stevie Nicks",Phoenix,US,US-AZ,en
"Stevie Ray Vaughan & Double Trouble",Dallas,US,US-TX,en
"Stevie Wonder",Saginaw,US,US-MI,en
"Stone Sour",Des Moines,US,US-IA,en
"Stone Temple Pilots",San Diego,US,US-CA,en
"Strawberry Alarm Clock",Los Angeles,US,US-CA,en
"Stéphane SAX, Amhed Spins",Paris,FR,FR-75,fr
"Suba feat. Cibelle",São Paulo,BR,BR-SP,pt
"Sublime",Long Beach,US,US-CA,en
"Suede",London,GB,GB-LND,en
"Sufjan Stevens",Detroit,US,US-MI,en
"Sugar Ray",Newport Beach,US,US-CA,en
"Sugarcult",Santa Barbara,US,US-CA,en
"Suicidal Tendencies",Venice,US,US-CA,en
"Suicide",New York City,US,US-NY,en
"Sun Kil Moon",San Francisco,US,US-CA,en
"Sun Ra",Birmingham,US,US-AL,en
"Supertramp",London,GB,GB-LND,en
"Survivor",Chicago,US,US-IL,en
"Swans",New York City,US,US-NY,en
"Sweet",London,GB,GB-LND,en
"T-Pain",Tallahassee,US,US-FL,en
"T.I.",Atlanta,US,US-GA,en
"T.S.O.L.",Long Beach,US,US-CA,en
"TLC",Atlanta,US,US-GA,en
"TOOL",Los Angeles,US,US-CA,en
"TV Girl",San Diego,US,US-CA,en
"TV on the Radio",Brooklyn,US,US-NY,en
"Talk Talk",London,GB,GB-LND,en
"Talking Heads",New York City,US,US-NY,en
"Tammy Wynette",Tremont,US,US-MS,en
"Tanya Tucker",Seminole,US,US-TX,en
"Taproot",Ann Arbor,US,US-MI,en
"Tash Sultana",Melbourne,AU,AU-VIC,en
"Taylor McFerrin, RYAT",New York City,US,US-NY,en
"Tchaikovsky",Votkinsk,RU,RU-UD,ru
"Tears For Fears",Bath,GB,GB-BAS,en
"Teddy Pendergrass",Philadelphia,US,US-PA,en
"Television",New York City,US,US-NY,en
"Tesla",Sacramento,US,US-CA,en
"The Anxiety, Willow Smith, Tyler Cole",Los Angeles,US,US-CA,en
"The Avener ft. Ane Brun",Nice,FR,FR-06,en
"The Bled",Tucson,US,US-AZ,en
"The Byrds",Los Angeles,US,US-CA,en
"The Cars",Boston,US,US-MA,en
"The Charlatans",West Midlands,GB,GB-WMD,en
"The Chi-Lites",Chicago,US,US-IL,en
"The Chicks",Dallas,US,US-TX,en
"The Chieftains;Jackson Browne",Dublin,IE,IE-D,en
"The Chordettes",Sheboygan,US,US-WI,en
"The Clash",London,GB,GB-LND,en
"The Commodores",Tuskegee,US,US-AL,en
"The Cox Family",Cotton Valley,US,US-LA,en
"The Cramps",Sacramento,US,US-CA,en
"The Cult",Bradford,GB,GB-WYK,en
"The Cure",Crawley,GB,GB-WSX,en
"The Damned",London,GB,GB-LND,en
"The Dandy Warhols",Portland,US,US-OR,en
"The Darkness",Lowestoft,GB,GB-SFK,en
"The Dead Milkmen",Philadelphia,US,US-PA,en
"The Decemberists",Portland,US,US-OR,en
"The Delfonics",Philadelphia,US,US-PA,en
"The Distillers",Los Angeles,US,US-CA,en
"The Doors",Los Angeles,US,US-CA,en
"The Drums",Brooklyn,US,US-NY,en
"The Edgar Winter Group",Beaumont,US,US-TX,en
"The Faint",Omaha,US,US-NE,en
"The Fall",Manchester,GB,GB-MAN,en
"The Fixx",London,GB,GB-LND,en
"The Flamingos",Chicago,US,US-IL,en
"The Friends of Distinction",Los Angeles,US,US-CA,en
"The Gap Band",Tulsa,US,US-OK,en
"The Go-Go's",Los Angeles,US,US-CA,en
"The Grass Roots",Los Angeles,US,US-CA,en
"The Growlers",Dana Point,US,US-CA,en
"The Guess Who",Winnipeg,CA,CA-MB,en
"The Highwaymen",Nashville,US,US-TN,en
"The Hollies",Manchester,GB,GB-MAN,en
"The Hood Internet",Chicago,US,US-IL,en
"The Human League",Sheffield,GB,GB-SHF,en
"The Instruction (Rock)",London,GB,GB-LND,en
"The Internet",Los Angeles,US,US-CA,en
"The Internet, Jesse Boykins III",Los Angeles,US,US-CA,en
"The Internet, Mac Miller",Los Angeles,US,US-CA,en
"The Internet, Tay Walker",Los Angeles,US,US-CA,en
"The Internet, Yuna Zarai",Los Angeles,US,US-CA,en
"The Interrupters",Los Angeles,US,US-CA,en
"The J. Geils Band",Worcester,US,US-MA,en
"The Jesus Lizard",Austin,US,US-TX,en
"The Judds",Ashland,US,US-KY,en
"The Kingsmen",Portland,US,US-OR,en
"The Kinks",London,GB,GB-LND,en
"The Knife",Gothenburg,SE,SE-O,en
"The Kooks",Brighton,GB,GB-BNH,en
"The La's",Liverpool,GB,GB-LIV,en
"The Living End",Melbourne,AU,AU-VIC,en
"The Lonely Island",Berkeley,US,US-CA,en
"The Magnetic Fields",Boston,US,US-MA,en
"The Mamas and the Papas",Los Angeles,US,US-CA,en
"The Mars Volta",El Paso,US,US-TX,en
"The Marshall Tucker Band",Spartanburg,US,US-SC,en
"The Meters",New Orleans,US,US-LA,en
"The Mighty Mighty BossToneS",Boston,US,US-MA,en
"The Mighty Rhyeders",Miami,US,US-FL,en
"The Mission",Leeds,GB,GB-LDS,en
"The Monkees",Los Angeles,US,US-CA,en
"The Pains of Being Pure at Heart",New York City,US,US-NY,en
"The Presets",Sydney,AU,AU-NSW,en
"The Soggy Bottom Boys",Nashville,US,US-TN,en
"The Stanley Brothers",McClure,US,US-VA,en
"The Whites",Wichita Falls,US,US-TX,en
"The Wombats",Liverpool,GB,GB-LIV,en
"Timmy Trumpet, Will Sparks, Code Black, Toneshifterz",Sydney,AU,AU-NSW,en
"Tony Bennett",New York City,US,US-NY,en
"Toy Tonics",Munich,DE,DE-BY,en
"Uffie",Miami,US,US-FL,en
"Usher, MSTRKRFT",Atlanta,US,US-GA,en
"VILLAINS",New York City,US,US-NY,en
"Vanzetti & Sacco, Void Vision",Philadelphia,US,US-PA,en
"Walter Egan, Stevie Nicks",New York City,US,US-NY,en
"Wham!",Bushey,GB,GB-HRT,en
"Wiley",London,GB,GB-LND,en
"William S. Burroughs",St. Louis,US,US-MO,en
"Woolfy",Ojai,US,US-CA,en
"X.Y. Spaces",Sydney,AU,AU-NSW,en
"Yacht",Portland,US,US-OR,en
"Yelle",Saint-Brieuc,FR,FR-22,fr
"Yo-Yo Ma & Bobby McFerrin",Paris,FR,FR-75,en
"Youssoupha, William MUNDAYA NA MPUTU, Youssoupha MABIKI",Kinshasa,CD,CD-KN,fr
"deadmau5",Niagara Falls,CA,CA-ON,en
"jazzandmilk",Munich,DE,DE-BY,en
"jclutch",London,GB,GB-LND,en
"t.A.T.u.",Moscow,RU,RU-MOW,ru
"산울림",Seoul,KR,KR-11,ko
