Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"3OH!3",Boulder,US,US-CO,en
"Afida Turner",Les Lilas,FR,FR-93,en
"Apes Of The State",Lancaster,US,US-PA,en
"Audio Isolation",London,GB,GB-LND,en
"A‐Trak",Montreal,CA,CA-QC,en
"BLESSD y Ovy On The Drums",Medellín,CO,CO-ANT,es
"Billy Allen + The Pollies",Muscle Shoals,US,US-AL,en
"Bobby Vinton",Canonsburg,US,US-PA,en
"Boffalongo",New York City,US,US-NY,en
"Bon Jovi",Sayreville,US,US-NJ,en
"Bon y los enemigos del silencio",Mexico City,MX,MX-CMX,es
"Bone Thugs-N-Harmony",Cleveland,US,US-OH,en
"Booker T. & The M.G.s",Memphis,US,US-TN,en
"Bowling for soup",Wichita Falls,US,US-TX,en
"Boy Hits Car",Sherman Oaks,US,US-CA,en
"Brad Mehldau Trio",New York City,US,US-NY,en
"Bran Van 3000",Montreal,CA,CA-QC,en
"Brass Construction",Brooklyn,US,US-NY,en
"Breakwater",Philadelphia,US,US-PA,en
"Brewer & Shipley",Los Angeles,US,US-CA,en
"Brigitte Bardot and Serge Gainsbourg",Paris,FR,FR-75,fr
"Broken English",London,GB,GB-LND,en
"Brother Marshall & The Choir of Fire",Nashville,US,US-TN,en
"Brothertiger",Brooklyn,US,US-NY,en
"Brown Eyed Girls",Seoul,KR,KR-11,ko
"Bruce Hornsby and The Range",Williamsburg,US,US-VA,en
"Buddy Holly & The Crickets",Lubbock,US,US-TX,en
"Béla Fleck & Toumani Diabaté",New York City,US,US-NY,en
"Carl Douglas",Kingston,JM,JM-01,en
"Cassettes Won't Listen",Brooklyn,US,US-NY,en
"Charlie Clouser",Hanover,US,US-NH,en
"Chemise",New York City,US,US-NY,en
"Chris Thomas King",Baton Rouge,US,US-LA,en
"Christopher Cross",San Antonio,US,US-TX,en
"Cigar",Eugene,US,US-OR,en
"Circles Around The Sun",Los Angeles,US,US-CA,en
"Circlesquare",Vancouver,CA,CA-BC,en
"Circus Of Power",New York City,US,US-NY,en
"Citizen King",Milwaukee,US,US-WI,en
"City High",Willingboro,US,US-NJ,en
"City Sleeps",Union Springs,US,US-AL,en
"Clinic",Liverpool,GB,GB-LIV,en
"Close Counters",Melbourne,AU,AU-VIC,en
"Closure",Vancouver,CA,CA-BC,en
"Cold Blood",San Francisco,US,US-CA,en
"Cold Blue",London,GB,GB-LND,en
"Colour Haze",Munich,DE,DE-BY,en
"Compay Segundo",Siboney,CU,CU-13,es
"Connie Conway",Phoenix,US,US-AZ,en
"Conor Albert",London,GB,GB-LND,en
"Cookiee Kawaii",Irvington,US,US-NJ,en
"Corey Smith",Jefferson,US,US-GA,en
"Corona",Salerno,IT,IT-SA,en
"Corridor",Montreal,CA,CA-QC,fr
"Cotton Jones",Cumberland,US,US-MD,en
"Country Joe and the Fish",Berkeley,US,US-CA,en
"Courtney Love",San Francisco,US,US-CA,en
"Coyote J. Calhoun",Nashville,US,US-TN,en
"Crackazat",Bristol,GB,GB-BST,en
"Craft Spells",Stockton,US,US-CA,en
"Cubic Zirconia",New York City,US,US-NY,en
"DJ Maikel Music",Amsterdam,NL,NL-NH,en
"Damian Marley",Kingston,JM,JM-01,en
"DatA",Paris,FR,FR-75,en
"Datarock",Bergen,NO,NO-46,en
"Deastro",Detroit,US,US-MI,en
"Digable Planets",Brooklyn,US,US-NY,en
"Dink Roberts",Haw River,US,US-NC,en
"Dirty Projectors",Brooklyn,US,US-NY,en
"Discovery",New York City,US,US-NY,en
"Does It Offend You, Yeah?",Reading,GB,GB-RDG,en
"Dr. Dog",Philadelphia,US,US-PA,en
"Dr. John",New Orleans,US,US-LA,en
"Dr. Lonnie Smith",Lackawanna,US,US-NY,en
"Edie Brickell & New Bohemians",Dallas,US,US-TX,en
"Emanuel",Louisville,US,US-KY,en
"Emigrate",Berlin,DE,DE-BE,en
"Eric B. & Rakim",Long Island,US,US-NY,en
"Fairfield Four",Nashville,US,US-TN,en
"Fightstar",London,GB,GB-LND,en
"Five Man Electrical Band",Ottawa,CA,CA-ON,en
"Flight Of The Conchords",Wellington,NZ,NZ-WGN,en
"Florence + The Machine",London,GB,GB-LND,en
"Free Blood",New York City,US,US-NY,en
"Friendly Fires",St Albans,GB,GB-HRT,en
"Frog Eyes",Victoria,CA,CA-BC,en
"Fun.",New York City,US,US-NY,en
"Gavin Turek",Los Angeles,US,US-CA,en
"George Lam (林子祥)",Hong Kong,CN,CN-HK,zh
"Ghostland Observatory",Austin,US,US-TX,en
"Goose",Norwalk,US,US-CT,en
"Harold Melvin & The Blue Notes",Philadelphia,US,US-PA,en
"HeartsRevolution",New York City,US,US-NY,en
"Herb Alpert & The Tijuana Brass",Los Angeles,US,US-CA,en
"Hockey",Portland,US,US-OR,en
"Houndsmouth",New Albany,US,US-IN,en
"Hypnotize Camp Posse",Memphis,US,US-TN,en
"Iglu & Hartly",Los Angeles,US,US-CA,en
"Indeep",New York City,US,US-NY,en
"Injected",Atlanta,US,US-GA,en
"Inner Terrestrials",London,GB,GB-LND,en
"InnerPartySystem",Mohnton,US,US-PA,en
"Irakere",Havana,CU,CU-03,es
"It Dies Today",Buffalo,US,US-NY,en
"J-Clutch",London,GB,GB-LND,en
"J-Walk",Manchester,GB,GB-MAN,en
"JUNIOR SENIOR",Aars,DK,DK-81,en
"Jace Everett",Evansville,US,US-IN,en
"Jack Peñate",London,GB,GB-LND,en
"Jacob Borshard",Austin,US,US-TX,en
"Jacqueline Taieb",Tunis,TN,TN-11,fr
"Jaded Heart",Duisburg,DE,DE-NW,en
"Jafunk",Perth,AU,AU-WA,en
"Jaga Jazzist",Tønsberg,NO,NO-38,en
"Jah PHNX",London,GB,GB-LND,en
"Jakszyk, Fripp & Collins",London,GB,GB-LND,en
"James",Manchester,GB,GB-MAN,en
"Jay Ferguson",Burbank,US,US-CA,en
"Jay Som",Walnut Creek,US,US-CA,en
"Jazzy Bazz",Paris,FR,FR-75,fr
"Jean Pierre Mirouze",Paris,FR,FR-75,fr
"Jean Redpath",Edinburgh,GB,GB-EDH,en
"Jellybones",London,GB,GB-LND,en
"Jerkcurb",London,GB,GB-LND,en
"Jessy Bulbo",Mexico City,MX,MX-CMX,es
"Jesu",Birmingham,GB,GB-BIR,en
"Jim Hall",Buffalo,US,US-NY,en
"Jimmy Buffet",Pascagoula,US,US-MS,en
"Joe Diffie",Tulsa,US,US-OK,en
"Khalid",El Paso,US,US-TX,en
"Killer Mike",Atlanta,US,US-GA,en
"Maldita Vecindad",Mexico City,MX,MX-CMX,es
"Microsoft",Redmond,US,US-WA,en
"t.A.T.u.",Moscow,RU,RU-MOW,ru
"산울림",Seoul,KR,KR-11,ko
