Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Rockwell,Detroit,US,US-MI,en
Graham Central Station,San Francisco,US,US-CA,en
Noiseshaper,Vienna,AT,AT-9,en
'Til Tuesday,Boston,US,US-MA,en
Nine Black Alps,Manchester,GB,GB-ENG,en
Dub Pistols,London,GB,GB-ENG,en
Starbuck,Atlanta,US,US-GA,en
Nicola Conte,Bari,IT,IT-75,en
Klaus Waldeck,Vienna,AT,AT-9,en
Cold Cave,Philadelphia,US,US-PA,en
Sleep,San Jose,US,US-CA,en
The Cox Family,Cotton Valley,US,US-LA,en
The Casualties,New York City,US,US-NY,en
K Motionz,Birmingham,GB,GB-ENG,en
Player One,Sydney,AU,AU-NSW,en
IDK,London,GB,GB-ENG,en
Pete Seeger,New York City,US,US-NY,en
Bazzi,Canton,US,US-MI,en
Fouk,Den Bosch,NL,NL-NB,en
King George,Hopkins,US,US-SC,en
T-Bone Walker,Linden,US,US-TX,en
Gary Glitter,Banbury,GB,GB-ENG,en
The Soul Searchers,"Washington, D.C.",US,US-DC,en
Elektrokohle,Berlin,DE,DE-BE,de
Carolyn Dawn Johnson,Grande Prairie,CA,CA-AB,en
Missing Persons,Los Angeles,US,US-CA,en
Reba McEntire,McAlester,US,US-OK,en
Wang Chung,London,GB,GB-ENG,en
Still Flyin',San Francisco,US,US-CA,en
Caravan,Canterbury,GB,GB-ENG,en
Slandr,Los Angeles,US,US-CA,en
The Record Company,Los Angeles,US,US-CA,en
Rob Thomas,Landstuhl,DE,DE-RP,en
David Banner,Jackson,US,US-MS,en
UK Subs,London,GB,GB-ENG,en
Patty Loveless,Pikeville,US,US-KY,en
Perez Prado,Matanzas,CU,CU-04,es
The Knack,Los Angeles,US,US-CA,en
Iglu & Hartly,Los Angeles,US,US-CA,en
The Pipettes,Brighton,GB,GB-ENG,en
Sérgio Mendes,Niterói,BR,BR-RJ,pt
The Alan Parsons Project,London,GB,GB-ENG,en
KRS-One,New York City,US,US-NY,en
Taco,Jakarta,ID,ID-JK,en
Daryl Hall & John Oates,Philadelphia,US,US-PA,en
Panteón Rococó,Mexico City,MX,MX-CMX,es
Limiñanas,Perpignan,FR,FR-OCC,fr
Lana Del Rey,New York City,US,US-NY,en
Eurythmics,London,GB,GB-ENG,en
Deee-Lite,New York City,US,US-NY,en
Fine Young Cannibals,Birmingham,GB,GB-ENG,en
Kaaris,Sevran,FR,FR-IDF,fr
The Outfield,London,GB,GB-ENG,en
Technotronic,Aalst,BE,BE-VLG,en
Men at Work,Melbourne,AU,AU-VIC,en
Violent Femmes,Milwaukee,US,US-WI,en
The Cardigans,Jönköping,SE,SE-F,en
A-ha,Oslo,NO,NO-03,en
Modern Talking,Berlin,DE,DE-BE,en
The Killers,Las Vegas,US,US-NV,en
Lil Nas X,Lithia Springs,US,US-GA,en
Charley Pride,Sledge,US,US-MS,en
Duckwrth,Los Angeles,US,US-CA,en
Alfie Templeman,Carlton,GB,GB-ENG,en
Luther Vandross,New York City,US,US-NY,en
The Proclaimers,Auchtermuchty,GB,GB-SCT,en
Wilson Phillips,Los Angeles,US,US-CA,en
The Crucifucks,Lansing,US,US-MI,en
Jack Stauber,Erie,US,US-PA,en
The New Birth,Louisville,US,US-KY,en
Todd Snider,Portland,US,US-OR,en
Wham!,Bushey,GB,GB-ENG,en
Sneaker Pimps,Hartlepool,GB,GB-ENG,en
Death Cab for Cutie,Bellingham,US,US-WA,en
Matthew Wilder,New York City,US,US-NY,en
Zapp,Dayton,US,US-OH,en
Paul Simon,Newark,US,US-NJ,en
