Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
3OH!3,Boulder,US,US-CO,en
AJJ (Andrew Jackson Jihad),Phoenix,US,US-AZ,en
Against Me!,Gainesville,US,US-FL,en
Ali Farka Touré,Kanau,ML,ML-6,fpe
Anoraak,Nantes,FR,FR-PDL,en
Arvo Pärt,Paide,EE,EE-51,et
Aya Nakamura,Bamako,ML,ML-BKO,fr
B.o.B,Decatur,US,US-GA,en
Bat for Lashes,London,GB,GB-LND,en
Big Sean,Detroit,US,US-MI,en
Bill Monroe & the Bluegrass Boys,Rosine,US,US-KY,en
Black Kids,Jacksonville,US,US-FL,en
Boards Of Canada,Edinburgh,GB,GB-EDH,en
Bob Marley & The Wailers,Kingston,JM,JM-01,en
Bob Seger & The Silver Bullet Band,Ann Arbor,US,US-MI,en
Bob Vylan,London,GB,GB-LND,en
Bobby Valentino,Jackson,US,US-MS,en
Bon Iver,Eau Claire,US,US-WI,en
Booba,Boulogne-Billancourt,FR,FR-IDF,fr
BossMan Dlow,Port St. Lucie,US,US-FL,en
Brandy & Monica,McComb,US,US-MS,en
Brian Eno,Melton,GB,GB-SUF,en
Britney Spears,McComb,US,US-MS,en
Broken Social Scene,Toronto,CA,CA-ON,en
Bronco,Apodaca,MX,MX-NLE,es
Brujeria,Tijuana,MX,MX-BCN,es
Bruno Mars,Honolulu,US,US-HI,en
Buck Owens,Sherman,US,US-TX,en
Bullet For My Valentine,Bridgend,GB,GB-BGE,en
C.W. McCall,Audubon,US,US-IA,en
CA7RIEL & Paco Amoroso,Buenos Aires,AR,AR-C,es
CAN,Cologne,DE,DE-NW,en
CSS,São Paulo,BR,BR-SP,en
Cakes Da Killa,Teaneck,US,US-NJ,en
Calvin Harris,Dumfries,GB,GB-DGY,en
Cat Stevens (Yusuf),London,GB,GB-LND,en
Charlie Daniels,Wilmington,US,US-NC,en
Chelsea Wolfe,Roseville,US,US-CA,en
Cher,El Centro,US,US-CA,en
Cherry Glazerr,Los Angeles,US,US-CA,en
Chet Atkins,Luttrell,US,US-TN,en
Chet Baker,Yale,US,US-OK,en
Chic,New York,US,US-NY,en
Childish Gambino,Edwards Air Force Base,US,US-CA,en
Chris Isaak,Stockton,US,US-CA,en
Chris LeDoux,Biloxi,US,US-MS,en
Chromeo,Montreal,CA,CA-QC,en
Chuck Mangione,Rochester,US,US-NY,en
Cibo Matto,New York,US,US-NY,en
Circle Jerks,Hermosa Beach,US,US-CA,en
City Girls,Miami,US,US-FL,en
Clairo,Atlanta,US,US-GA,en
Clawfinger,Stockholm,SE,SE-AB,en
Clay Walker,Beaumont,US,US-TX,en
Clint Black,Long Branch,US,US-NJ,en
Cobra Starship,New York,US,US-NY,en
Coconut Records,Los Angeles,US,US-CA,en
Cocteau Twins,Grangemouth,GB,GB-FAL,en
Cold,Jacksonville,US,US-FL,en
Cold Cave,Philadelphia,US,US-PA,en
Coldplay,London,GB,GB-LND,en
Collective Soul,Stockbridge,US,US-GA,en
Colter Wall,Swift Current,CA,CA-SK,en
Com Truise,Oneida,US,US-NY,en
Con Funk Shun,Vallejo,US,US-CA,en
Connan Mockasin,Te Awanga,NZ,NZ-HKB,en
Conway Twitty,Friars Point,US,US-MS,en
Corey Hart,Montreal,CA,CA-QC,en
Corey Taylor,Des Moines,US,US-IA,en
Cornelius,Setagaya,JP,JP-13,ja
Corrosion Of Conformity,Raleigh,US,US-NC,en
Cracker,Redlands,US,US-CA,en
Craig Mack,Trenton,US,US-NJ,en
Crazy Town,Los Angeles,US,US-CA,en
Daddy Yankee,San Juan,PR,PR,es
Dan Black,Reading,GB,GB-RDG,en
Danger,Lyon,FR,FR-ARA,en
David Peel,New York,US,US-NY,en
Deaf Switch,New York,US,US-NY,en
Dinosaur Jr.,Amherst,US,US-MA,en
Dr. Dre,Compton,US,US-CA,en
Earl Scruggs,Shelby,US,US-NC,en
El Alfa,Bajos de Haina,DO,DO-21,es
Empire Of The Sun,Sydney,AU,AU-NSW,en
Eve 6,La Crescenta-Montrose,US,US-CA,en
Frank Zappa,Baltimore,US,US-MD,en
Frankie Valli & The Four Seasons,Newark,US,US-NJ,en
G-Eazy,Oakland,US,US-GA,en
Green Day,Rodeo,US,US-CA,en
Hank Williams Jr.,Shreveport,US,US-LA,en
Harry McClintock,Knoxville,US,US-TN,en
Iggy Pop,Muskegon,US,US-MI,en
Indila,Paris,FR,FR-IDF,fr
Israel Kamakawiwo'ole,Honolulu,US,US-HI,haw
J Balvin,Medellín,CO,CO-ANT,es
Jack Harlow,Louisville,US,US-KY,en
Jack Ingram,The Woodlands,US,US-TX,en
Jaco Pastorius,Norristown,US,US-PA,en
Jacques Dutronc,Paris,FR,FR-IDF,fr
Jain,Toulouse,FR,FR-OCC,en
Jan Hammer,Prague,CZ,CZ-10,en
Jay-Z,New York,US,US-NY,en
Jazzanova,Berlin,DE,DE-BE,en
Jeannie C. Riley,Anson,US,US-TX,en
Jermaine Dupri,Asheville,US,US-NC,en
