Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"3OH!3","Boulder","US","US-CO","en"
"AJJ (Andrew Jackson Jihad)","Phoenix","US","US-AZ","en"
"Adam Dornblum","New York City","US","US-NY","en"
"Bill Frisell","Baltimore","US","US-MD","en"
"Mocean Worker","Philadelphia","US","US-PA","en"
"David Fathead Newman","Dallas","US","US-TX","en"
"Jane Monheit","Oakdale","US","US-NY","en"
"Les McCann","Lexington","US","US-KY","en"
"Rahsaan Roland Kirk","Columbus","US","US-OH","en"
"Ambrosia Parsley","Reseda","US","US-CA","en"
"Anoraak","Nantes","FR","FR-44","en"
"A‐Trak","Montreal","CA","CA-QC","en"
"Bat for Lashes","London","GB","GB-LND","en"
"Black Kids","Jacksonville","US","US-FL","en"
"Bob Marley","Nine Mile","JM","JM-06","en"
"The Wailers","Kingston","JM","JM-01","en"
"LVNDSCAPE","Amsterdam","NL","NL-NH","en"
"Bolier","Eindhoven","NL","NL-NB","en"
"Booker T. & The M.G.s","Memphis","US","US-TN","en"
"Bran Van 3000","Montreal","CA","CA-QC","en"
"Britney Spears","McComb","US","US-MS","en"
"Buck Owens","Sherman","US","US-TX","en"
"C.W. McCall","Audubon","US","US-IA","en"
"CSS","São Paulo","BR","BR-SP","pt"
"Calvin Harris","Dumfries","GB","GB-DGF","en"
"Cansei de Ser Sexy","São Paulo","BR","BR-SP","pt"
"Cassettes Won't Listen","Brooklyn","US","US-NY","en"
"Chad hates George.","Houston","US","US-TX","en"
"Charlie Clouser","Hanover","US","US-NH","en"
"Cherry Glazerr","Los Angeles","US","US-CA","en"
"Chris Thomas King","Baton Rouge","US","US-LA","en"
"Chromeo","Montreal","CA","CA-QC","en"
"City Sleeps","Jacksonville","US","US-FL","en"
"Cobra Starship","New York City","US","US-NY","en"
"Coconut Records","Los Angeles","US","US-CA","en"
"Cold Cave","Philadelphia","US","US-PA","en"
"Colonel Loud","Albany","US","US-GA","en"
"T.I.","Atlanta","US","US-GA","en"
"Young Dolph","Memphis","US","US-TN","en"
"Ricco Barrino","High Point","US","US-NC","en"
"Cosculluela","Humacao","PR","PR-HU","es"
"Nicky Jam","Lawrence","US","US-MA","es"
"Coyote J. Calhoun","Mobile","US","US-AL","en"
"Crag Legs","San Marcos","US","US-TX","en"
"Not Half Bad","Fort Worth","US","US-TX","en"
"Cubic Zirconia","New York City","US","US-NY","en"
"Damian Marley","Kingston","JM","JM-01","en"
"Bobby Brown","Boston","US","US-MA","en"
"Dan Black","Reading","GB","GB-RDG","en"
"Danger","Lyon","FR","FR-69","en"
"DatA","Paris","FR","FR-75","en"
"Datarock","Bergen","NO","NO-46","en"
"Deastro","Detroit","US","US-MI","en"
"Digable Planets","Brooklyn","US","US-NY","en"
"Dink Roberts","Haw River","US","US-NC","en"
"Dirty Projectors","Brooklyn","US","US-NY","en"
"Discovery","New York City","US","US-NY","en"
"Does It Offend You, Yeah?","Reading","GB","GB-RDG","en"
"Earl Scruggs","Shelby","US","US-NC","en"
"Doc Watson","Deep Gap","US","US-NC","en"
"Ricky Skaggs","Cordell","US","US-KY","en"
"Edie Brickell","Dallas","US","US-TX","en"
"Emanuel","Louisville","US","US-KY","en"
"Emigrate","Berlin","DE","DE-BE","en"
"Empire Of The Sun","Sydney","AU","AU-NSW","en"
"Eric B.","East Elmhurst","US","US-NY","en"
"Rakim","Wyandanch","US","US-NY","en"
"Fairfield Four","Nashville","US","US-TN","en"
"Fightstar","London","GB","GB-LND","en"
"Five Man Electrical Band","Ottawa","CA","CA-ON","en"
"Flight Of The Conchords","Wellington","NZ","NZ-WGN","en"
"Florence + The Machine","London","GB","GB-LND","en"
