Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Ian Dury,London,GB,GB-ENG,en
Ice Cube,Los Angeles,US,US-CA,en
Ice-T,Newark,US,US-NJ,en
Iceage,Copenhagen,DK,DK-84,en
Icona Pop,Stockholm,SE,SE-AB,en
Ida Maria,Nesna,NO,NO-18,en
Idris Muhammad,New Orleans,US,US-LA,en
Iggy Azalea,Sydney,AU,AU-NSW,en
Iggy Pop,Muskegon,US,US-MI,en
Ike & Tina Turner,St. Louis,US,US-MO,en
Ilegales,Gijón,ES,ES-AS,es
Illya Kuryaki and the Valderramas,Buenos Aires,AR,AR-C,es
Imagiary Friends,Los Angeles,US,US-CA,en
Imagine Dragons,Las Vegas,US,US-NV,en
Imogen Heap,London,GB,GB-ENG,en
In-Grid,Guastalla,IT,IT-45,fr
Inspiral Carpets,Oldham,GB,GB-ENG,en
Interpol,New York City,US,US-NY,en
Inspector,Monterrey,MX,MX-NLE,es
Inner Circle,Kingston,JM,JM-01,en
Inner City,Detroit,US,US-MI,en
Iron Butterfly,San Diego,US,US-CA,en
Iron Knowledge,Middletown,US,US-OH,en
Irving,Los Angeles,US,US-CA,en
Irving Burgie,New York City,US,US-NY,en
Isaac Hayes,Covington,US,US-TN,en
Isley Brothers,Cincinnati,US,US-OH,en
Israel Vibration,Kingston,JM,JM-01,en
It's Immaterial,Liverpool,GB,GB-ENG,en
Ivy,New York City,US,US-NY,en
Ivy Queen,Añasco,PR,US-PR,es
J Balvin,Medellín,CO,CO-ANT,es
J-Kwon,St. Louis,US,US-MO,en
J. Cole,Fayetteville,US,US-NC,en
J. Geils Band,Worcester,US,US-MA,en
J.J. Cale,Oklahoma City,US,US-OK,en
J.J. Fad,Rialto,US,US-CA,en
J.J. Jackson,New York City,US,US-NY,en
JID,Atlanta,US,US-GA,en
JUNGLE,London,GB,GB-ENG,en
Jack Johnson,North Shore,US,US-HI,en
Jack Parow,Cape Town,ZA,ZA-WC,af
Jack White,Detroit,US,US-MI,en
Jackie Mittoo,Browns Town,JM,JM-06,en
Jackie Wilson,Detroit,US,US-MI,en
Jackson 5,Gary,US,US-IN,en
Jackson Browne,Heidelberg,DE,DE-BW,en
Jadakiss,Yonkers,US,US-NY,en
Jade Bird,Hexham,GB,GB-ENG,en
Jagged Edge,Atlanta,US,US-GA,en
Jake Bugg,Nottingham,GB,GB-ENG,en
Jallacy,Los Angeles,US,US-CA,en
James Brown,Barnwell,US,US-SC,en
James Gang,Cleveland,US,US-OH,en
James Taylor,Boston,US,US-MA,en
James Vincent McMorrow,Dublin,IE,IE-D,en
Jamie T,London,GB,GB-ENG,en
Jamie xx,London,GB,GB-ENG,en
Jamiroquai,London,GB,GB-ENG,en
Jan & Dean,Los Angeles,US,US-CA,en
Jane's Addict[ion,Los Angeles,US,US-CA,en
Janet Jackson,Gary,US,US-IN,en
Janis Joplin,Port Arthur,US,US-TX,en
Japan,London,GB,GB-ENG,en
Japanese Breakfast,Eugene,US,US-OR,en
Jason Aldean,Macon,US,US-GA,en
Jason Isbell,Green Hill,US,US-AL,en
Javier Solis,Mexico City,MX,MX-CMX,es
Jawbreaker,New York City,US,US-NY,en
Jay-Z,New York City,US,US-NY,en
Jayda G,Grand Forks,CA,CA-BC,en
Jean Knight,New Orleans,US,US-LA,en
Jean-Luc Ponty,Avranches,FR,FR-NOR,fr
Jean-Michel Jarre,Lyon,FR,FR-ARA,fr
Jeb Loy Nichols,Wyoming,US,US-OH,en
Jeff Beck,London,GB,GB-ENG,en
Jeff Buckley,Anaheim,US,US-CA,en
