Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Jim Samuel,London,GB,GB-LND,en
Jimmy Buffett,Pascagoula,US,US-MS,en
Jimmy Dean,Plainview,US,US-TX,en
Joe Crow,Birmingham,GB,GB-BIR,en
Joe Hill Louis,Rainey,US,US-TN,en
Joe Strummer & The Mescaleros,London,GB,GB-LND,en
Joey Bada$$,New York City,US,US-NY,en
"John Cafferty & The Beaver Brown Band",Narragansett,US,US-RI,en
"John Harrison with the Wichita State University Chamber Players",Wichita,US,US-KS,en
John Holt,Kingston,JM,JM-01,en
John Maus,Austin,US,US-MN,en
John McLaughlin,Doncaster,GB,GB-DNC,en
John R. Butler,Dallas,US,US-TX,en
"John Scofield & Pat Metheny",New York City,US,US-NY,en
John Snipes,Durham,US,US-NC,en
John Wilkes Booze,Bloomington,US,US-IN,en
Johnny Harris,Edinburgh,GB,GB-EDH,en
Johnny Hobo And The Freight Trains,Brattleboro,US,US-VT,en
Johnny Lee,Texas City,US,US-TX,en
Johnny Wright,Mount Juliet,US,US-TN,en
Jomanda,Newark,US,US-NJ,en
Jon Brion,Glen Ridge,US,US-NJ,en
Jon Wayne,San Antonio,US,US-TX,en
Jonah Yano,Vancouver,CA,CA-BC,en
Jonathan Wilson,Forest City,US,US-NC,en
Jonny & The Black Frames,London,GB,GB-LND,en
Joomanji,Santa Cruz,US,US-CA,en
Joseph Chilliams,Chicago,US,US-IL,en
Joseph Haydn,Rohrau,AT,AT-3,de
Josh Ritter,Moscow,US,US-ID,en
Josh Rouse,Paxton,US,US-NE,en
"Juan Gabriel, Isabel Pantoja",Ciudad Juárez,MX,MX-CHH,es
Julian Plenti,New York City,US,US-NY,en
Julión Álvarez Y Su Norteño Banda,La Concordia,MX,MX-CHP,es
Junior Boys,Hamilton,CA,CA-ON,en
Junior Murvin,Saint James Parish,JM,JM-08,en
Juniore,Paris,FR,FR-75,fr
Junip,Gothenburg,SE,SE-O,en
Just Nick,San Francisco,US,US-CA,en
Justice,Paris,FR,FR-75,en
K-Paz de la Sierra,Chicago,US,US-IL,es
KC and The Sunshine Band,Hialeah,US,US-FL,en
Kajagoogoo,Leighton Buzzard,GB,GB-BDF,en
Kalash,Strasbourg,FR,FR-67,fr
Kaleidoscope,Los Angeles,US,US-CA,en
Kamggarn,London,GB,GB-LND,en
Karen O & Danger Mouse,New York City,US,US-NY,en
Kazumi Totaka,Tokyo,JP,JP-13,ja
KeithCharles,Atlanta,US,US-GA,en
"Kesha, 3OH!3, DJ Skeet Skeet",Los Angeles,US,US-CA,en
Kevin Morby,Lubbock,US,US-TX,en
"KiD CuDi ft. MGMT & Ratatat",Cleveland,US,US-OH,en
Kid Sister,Chicago,US,US-IL,en
Kiiara,Wilmington,US,US-IL,en
Kikagaku Moyo,Tokyo,JP,JP-13,ja
Killer Banana,London,GB,GB-LND,en
King Curtis,Fort Worth,US,US-TX,en
King Khan & The Shrines,Berlin,DE,DE-BE,en
King Missile,New York City,US,US-NY,en
King Oliver,Aben,US,US-LA,en
King's Haze,London,GB,GB-LND,en
Klamydia,Vaasa,FI,FI-15,fi
Klaus Johann Grobe,Zurich,CH,CH-ZH,de
Klaxons,London,GB,GB-LND,en
Konshens,Kingston,JM,JM-01,en
Koop,Uppsala,SE,SE-C,en
"Kweku Saunderson, Dai Burger",Detroit,US,US-MI,en
L'Impératrice,Paris,FR,FR-75,fr
L.I.P.S.,Falmouth,GB,GB-CON,en
L.T.D.,Greensboro,US,US-NC,en
LKM,Paris,FR,FR-75,fr
"La Banda X, Dj Duran, Richard Herrera",Santo Domingo,DO,DO-01,es
La Bouche,Frankfurt,DE,DE-HE,en
La Dinastia de Tuzantla,Tuzantla,MX,MX-MIC,es
La Femme,Biarritz,FR,FR-64,fr
La Ley,Santiago,CL,CL-RM,es
La Lupita,Mexico City,MX,MX-CMX,es
La Sera,New Jersey,US,US-NJ,en
La Sonora Dinamita,Cartagena,CO,CO-BOL,es
La Tropa Vallenata,Monterrey,MX,MX-NLE,es
La Unión,Madrid,ES,ES-MD,es
La Vida es Una Lenteja,Buenos Aires,AR,AR-C,es
Laal,Lahore,PK,PK-PB,ur
Labi Siffre,London,GB,GB-LND,en
Labwagon,London,GB,GB-LND,en
Ladyhawke,Masterton,NZ,NZ-WGN,en
Lakeside,Dayton,US,US-OH,en
Lambrini Girls,Brighton,GB,GB-BTH,en
Landscape,London,GB,GB-LND,en
