Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Klaxons,London,GB,GB-LND,en
"Kweku Saunderson, Dai Burger",Detroit,US,US-MI,en
L'Impératrice,Paris,FR,FR-75,fr
"La Banda X, Dj Duran, Richard Herrera",Merida,VE,VE-L,es
La Vida es Una Lenteja,Buenos Aires,AR,AR-C,es
Ladyhawke,Masterton,NZ,NZ-WGN,en
"Larry Gatlin & The Gatlin Brothers",Seminole,US,US-TX,en
"Lautaro Scavuzzo, AWSI",Buenos Aires,AR,AR-C,es
"Liam Finn + Eliza Jane",Auckland,NZ,NZ-AUK,en
"Liam Gallagher & John Squire",Manchester,GB,GB-MAN,en
Liam Lynch,New Brunswick,US,US-NJ,en
Liars,Brooklyn,US,US-NY,en
Liberación,Monterrey,MX,MX-NLE,es
LightSkinKeisha,Atlanta,US,US-GA,en
"Lil Jon & The East Side Boys",Atlanta,US,US-GA,en
Lil Scrappy,Atlanta,US,US-GA,en
Lil Shordie Scott,Atlanta,US,US-GA,en
Lil Whyte,Nashville,US,US-TN,en
Linda Martell,Leesville,US,US-SC,en
Line,Paris,FR,FR-75,fr
Liquids,Gary,US,US-IN,en
"Lisa Loeb & Nine Stories",Dallas,US,US-TX,en
Lit,Fullerton,US,US-CA,en
Lithics,Portland,US,US-OR,en
Little Glitches,London,GB,GB-LND,en
Local News Legend,Pennsylvania,US,US-PA,en
"Local News Legend, Apes Of The State, Mary Wander",Lancaster,US,US-PA,en
Long Island Sound,Dublin,IE,IE-D,en
"Lonnie Liston Smith & The Cosmic Echoes",Richmond,US,US-VA,en
"Loretta Lynn and Conway Twitty",Butcher Hollow,US,US-KY,en
Los Askis,Mexico City,MX,MX-CMX,es
Los BlueCaps,Asunción,PY,PY-ASU,es
Los Caligaris,Córdoba,AR,AR-X,es
Los Dos Carnales,San Pedro,MX,MX-COA,es
Los Estramboticos,Mexico City,MX,MX-CMX,es
"Los Estrambóticos, Arturo Ruelas, David Sánchez, Antonio Lozano",Mexico City,MX,MX-CMX,es
"Los Incateños, Dominio Publico",Buenos Aires,AR,AR-C,es
Los Inquietos del Norte,Guadalajara,MX,MX-JAL,es
Los Joao,Xalapa,MX,MX-VER,es
Los Karkik's,Hacienda de Cabañas,MX,MX-GRO,es
Los Líderes,Medellín,CO,CO-ANT,es
Los Platinos,Santo Domingo,DO,DO-01,es
Los Plebeyos,Monterrey,MX,MX-NLE,es
M.O.P. ft Funkmaster Flex,Brooklyn,US,US-NY,en
Martin L. Gore,London,GB,GB-LND,en
Medal of Honor,Los Angeles,US,US-CA,en
Primal Scream,Glasgow,GB,GB-GLG,en
Primitive Radio Gods,Santa Barbara,US,US-CA,en
Primus,El Sobrante,US,US-CA,en
Princess Nokia,New York City,US,US-NY,en
Project Pat,Memphis,US,US-TN,en
Propagandhi,Portage la Prairie,CA,CA-MB,en
Psy,Seoul,KR,KR-11,ko
Public Image Ltd.,London,GB,GB-LND,en
Q-Tip,New York City,US,US-NY,en
Quantic,Reading,GB,GB-RDG,en
Queens Of The Stone Age,Palm Desert,US,US-CA,en
Quiet Riot,Los Angeles,US,US-CA,en
Quincy Jones,Chicago,US,US-IL,en
RJD2,Eugene,US,US-OR,en
Radio Futura,Madrid,ES,ES-MD,es
Ram Jam,New York City,US,US-NY,en
Rammstein,Berlin,DE,DE-BE,de
Ramones,New York City,US,US-NY,en
Rancid,Berkeley,US,US-CA,en
Randy Travis,Marshville,US,US-NC,en
Ratatat,New York City,US,US-NY,en
Ratt,San Diego,US,US-CA,en
Ray Charles,Albany,US,US-GA,en
Ray Price,Peach,US,US-TX,en
Real Estate,Ridgewood,US,US-NJ,en
Real Life,Melbourne,AU,AU-VIC,en
Redbone,Los Angeles,US,US-CA,en
Redman,Newark,US,US-NJ,en
Regard,Ferizaj,XK,XK,en
Renaud,Paris,FR,FR-75,fr
Ricchi e Poveri,Genoa,IT,IT-GE,it
Rich Boy,Mobile,US,US-AL,en
Rich Homie Quan,Atlanta,US,US-GA,en
Richard Strauss,Munich,DE,DE-BY,de
Rick Astley,Newton-le-Willows,GB,GB-SLN,en
